36
image_name clothes_type pose_type x_1 y_1 x_2 y_2
img/WOMEN/Blouses_Shirts/id_00000001/1_1_front.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000001/2_1_side.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000001/3_1_back.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000002/1_1_front.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000002/2_1_side.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000002/3_1_back.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000003/1_1_front.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000003/2_1_side.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000003/3_1_back.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000004/1_1_front.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000004/2_1_side.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000004/3_1_back.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000005/1_1_front.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000005/2_1_side.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000005/3_1_back.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000006/1_1_front.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000006/2_1_side.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000006/3_1_back.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000007/1_1_front.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000007/2_1_side.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000007/3_1_back.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000008/1_1_front.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000008/2_1_side.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000008/3_1_back.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000009/1_1_front.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000009/2_1_side.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000009/3_1_back.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000010/1_1_front.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000010/2_1_side.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000010/3_1_back.jpg 1 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000011/1_1_front.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000011/2_1_side.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000011/3_1_back.jpg 2 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000012/1_1_front.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000012/2_1_side.jpg 3 1 20 20 108 108
img/WOMEN/Blouses_Shirts/id_00000012/3_1_back.jpg 3 1 20 20 108 108
